launch_power_dbm,n_spans,channel,band,wavelength_nm,analytical_gsnr_db,recursive_gsnr_db,delta_recursive_minus_analytical_db
-2.0,1,0,L,1591.7817377291462,30.45233577081075,30.45233577081075,0.0
-2.0,1,1,L,1591.3592626893449,30.224179928742224,30.224179928742224,0.0
-2.0,1,2,L,1590.9370118483712,30.125750495381524,30.125750495381524,0.0
-2.0,1,3,L,1590.5149850278065,30.06708065041924,30.06708065041924,0.0
-2.0,1,4,L,1590.0931820494206,30.027597712837757,30.027597712837757,0.0
-2.0,1,5,L,1589.6716027351729,29.99932051475582,29.99932051475582,0.0
-2.0,1,6,L,1589.2502469072106,29.97832656020791,29.97832656020791,0.0
-2.0,1,7,L,1588.8291143878705,29.96240058560702,29.96240058560702,0.0
-2.0,1,8,L,1588.408204999677,29.95017037675786,29.95017037675786,0.0
-2.0,1,9,L,1587.9875185653427,29.940727852128056,29.940727852128056,0.0
-2.0,1,10,L,1587.5670549077681,29.933441491779995,29.933441491779995,0.0
-2.0,1,11,L,1587.146813850041,29.927854825254702,29.927854825254702,0.0
-2.0,1,12,L,1586.7267952154368,29.923627592357903,29.923627592357903,0.0
-2.0,1,13,L,1586.3069988274174,29.920499725727183,29.920499725727183,0.0
-2.0,1,14,L,1585.8874245096317,29.9182682998263,29.9182682998263,0.0
-2.0,1,15,L,1585.4680720859158,29.916772221483804,29.916772221483804,0.0
-2.0,1,16,L,1585.0489413802907,29.915881738047034,29.915881738047034,0.0
-2.0,1,17,L,1584.6300322169648,29.915491050914255,29.915491050914255,0.0
-2.0,1,18,L,1584.211344420331,29.915512992247287,29.915512992247287,0.0
-2.0,1,19,L,1583.7928778149692,29.9158751089901,29.9158751089901,0.0
-2.0,1,20,L,1583.3746322256436,29.916516729257655,29.916516729257655,0.0
-2.0,1,21,L,1582.9566074773036,29.917386728645248,29.917386728645248,0.0
-2.0,1,22,L,1582.5388033950837,29.91844180440522,29.91844180440522,0.0
-2.0,1,23,L,1582.1212198043024,29.919645124227685,29.919645124227685,0.0
-2.0,1,24,L,1581.7038565304633,29.92096525545396,29.92096525545396,0.0
-2.0,1,25,L,1581.2867133992536,29.922375307069938,29.922375307069938,0.0
-2.0,1,26,L,1580.8697902365443,29.92385223514479,29.92385223514479,0.0
-2.0,1,27,L,1580.45308686839,29.92537627524345,29.92537627524345,0.0
-2.0,1,28,L,1580.0366031210292,29.926930474511195,29.926930474511195,0.0
-2.0,1,29,L,1579.6203388208826,29.928500302756397,29.928500302756397,0.0
-2.0,1,30,L,1579.2042937945544,29.930073326709312,29.930073326709312,0.0
-2.0,1,31,L,1578.7884678688315,29.931638935228264,29.931638935228264,0.0
-2.0,1,32,L,1578.3728608706829,29.933188105915754,29.933188105915754,0.0
-2.0,1,33,L,1577.9574726272597,29.934713205642566,29.934713205642566,0.0
-2.0,1,34,L,1577.5423029658953,29.93620781903241,29.93620781903241,0.0
-2.0,1,35,L,1577.127351714104,29.937666600157705,29.937666600157705,0.0
-2.0,1,36,L,1576.7126186995822,29.939085143627263,29.939085143627263,0.0
-2.0,1,37,L,1576.2981037502077,29.940459871975925,29.940459871975925,0.0
-2.0,1,38,L,1575.8838066940384,29.941787936840637,29.941787936840637,0.0
-2.0,1,39,L,1575.469727359314,29.94306713186482,29.94306713186482,0.0
-2.0,1,40,L,1575.055865574453,29.944295815637894,29.944295815637894,0.0
-2.0,1,41,L,1574.6422211680565,29.94547284327161,29.94547284327161,0.0
-2.0,1,42,L,1574.2287939689036,29.946597505452818,29.946597505452818,0.0
-2.0,1,43,L,1573.8155838059542,29.947669474007395,29.947669474007395,0.0
-2.0,1,44,L,1573.4025905083472,29.94868875316927,29.94868875316927,0.0
-2.0,1,45,L,1572.9898139054012,29.949655635880962,29.949655635880962,0.0
-2.0,1,46,L,1572.5772538266135,29.950570664562044,29.950570664562044,0.0
-2.0,1,47,L,1572.1649101016603,29.951434595875007,29.951434595875007,0.0
-2.0,1,48,L,1571.7527825603972,29.952248369097898,29.952248369097898,0.0
-2.0,1,49,L,1571.340871032857,29.953013077782966,29.953013077782966,0.0
-2.0,1,50,L,1570.9291753492512,29.95372994444489,29.95372994444489,0.0
-2.0,1,51,L,1570.5176953399687,29.95440029808393,29.95440029808393,0.0
-2.0,1,52,L,1570.1064308355772,29.955025554414725,29.955025554414725,0.0
-2.0,1,53,L,1569.6953816668206,29.95560719874768,29.95560719874768,0.0
-2.0,1,54,L,1569.2845476646205,29.95614677157038,29.95614677157038,0.0
-2.0,1,55,L,1568.8739286600755,29.95664585702446,29.95664585702446,0.0
-2.0,1,56,L,1568.4635244844612,29.95710607471455,29.95710607471455,0.0
-2.0,1,57,L,1568.0533349692294,29.95752907571501,29.95752907571501,0.0
-2.0,1,58,L,1567.6433599460074,29.957916544469118,29.957916544469118,0.0
-2.0,1,59,L,1567.2335992465999,29.958270210024715,29.958270210024715,0.0
-2.0,1,60,L,1566.8240527029868,29.958591874146276,29.958591874146276,0.0
-2.0,1,61,L,1566.4147201473234,29.9588834748146,29.9588834748146,0.0
-2.0,1,62,L,1566.0056014119407,29.95914723914931,29.95914723914931,0.0
-2.0,1,63,L,1565.5966963293447,29.959386135188517,29.959386135188517,0.0
-2.0,1,64,L,1565.1880047322159,29.95960608919923,29.95960608919923,0.0
-2.0,1,65,C,1564.77952645341,30.004617272773192,30.004617272773192,0.0
-2.0,1,66,C,1564.3712613259574,30.004852680642976,30.004852680642976,0.0
-2.0,1,67,C,1563.9632091830617,30.0050769862938,30.0050769862938,0.0
-2.0,1,68,C,1563.5553698581014,30.005286955150048,30.005286955150048,0.0
-2.0,1,69,C,1563.147743184628,30.005482139058497,30.005482139058497,0.0
-2.0,1,70,C,1562.7403289963675,30.005662814850382,30.005662814850382,0.0
-2.0,1,71,C,1562.3331271272182,30.005829542661825,30.005829542661825,0.0
-2.0,1,72,C,1561.9261374112523,30.005983008694038,30.005983008694038,0.0
-2.0,1,73,C,1561.5193596827141,30.00612395490014,30.00612395490014,0.0
-2.0,1,74,C,1561.1127937760211,30.006253143262768,30.006253143262768,0.0
-2.0,1,75,C,1560.7064395257632,30.006371336292105,30.006371336292105,0.0
-2.0,1,76,C,1560.3002967667016,30.006479286057484,30.006479286057484,0.0
-2.0,1,77,C,1559.894365333771,30.0065777281141,30.0065777281141,0.0
-2.0,1,78,C,1559.4886450620768,30.00666737843568,30.00666737843568,0.0
-2.0,1,79,C,1559.0831357868954,30.006748932300155,30.006748932300155,0.0
-2.0,1,80,C,1558.677837343676,30.00682306450892,30.00682306450892,0.0
-2.0,1,81,C,1558.2727495680374,30.006890430562553,30.006890430562553,0.0
-2.0,1,82,C,1557.8678722957702,30.006951668562433,30.006951668562433,0.0
-2.0,1,83,C,1557.4632053628354,30.00700740170387,30.00700740170387,0.0
-2.0,1,84,C,1557.058748605364,30.00705824129827,30.00705824129827,0.0
-2.0,1,85,C,1556.6545018596576,30.007104790323453,30.007104790323453,0.0
-2.0,1,86,C,1556.2504649621876,30.007147647563134,30.007147647563134,0.0
