launch_power_dbm,n_spans_target,span,mean_input_power_dbm,mean_output_power_dbm,max_abs_amp_residual_db,mean_accumulated_ase_receiver_w,mean_accumulated_nli_w
-2.0,1,1,-1.9999999999999993,-2.0,8.881784197001252e-16,2.4276938509467334e-07,3.014696926853855e-07
-2.0,4,1,-1.9999999999999993,-2.0,8.881784197001252e-16,2.4276938509467334e-07,3.014696926853855e-07
-2.0,4,2,-2.0,-2.0,8.881784197001252e-16,4.855387701893467e-07,6.02939385370771e-07
-2.0,4,3,-2.0,-2.0,8.881784197001252e-16,7.2830815528402e-07,9.044090780561566e-07
-2.0,4,4,-2.0,-2.0,8.881784197001252e-16,9.710775403786934e-07,1.205878770741542e-06
-2.0,8,1,-1.9999999999999993,-2.0,8.881784197001252e-16,2.4276938509467334e-07,3.014696926853855e-07
-2.0,8,2,-2.0,-2.0,8.881784197001252e-16,4.855387701893467e-07,6.02939385370771e-07
-2.0,8,3,-2.0,-2.0,8.881784197001252e-16,7.2830815528402e-07,9.044090780561566e-07
-2.0,8,4,-2.0,-2.0,8.881784197001252e-16,9.710775403786934e-07,1.205878770741542e-06
-2.0,8,5,-2.0,-2.0,8.881784197001252e-16,1.2138469254733667e-06,1.5073484634269276e-06
-2.0,8,6,-2.0,-2.0,8.881784197001252e-16,1.45661631056804e-06,1.8088181561123131e-06
-2.0,8,7,-2.0,-2.0,8.881784197001252e-16,1.6993856956627134e-06,2.1102878487976983e-06
-2.0,8,8,-2.0,-2.0,8.881784197001252e-16,1.9421550807573867e-06,2.411757541483084e-06
-2.0,10,1,-1.9999999999999993,-2.0,8.881784197001252e-16,2.4276938509467334e-07,3.014696926853855e-07
-2.0,10,2,-2.0,-2.0,8.881784197001252e-16,4.855387701893467e-07,6.02939385370771e-07
-2.0,10,3,-2.0,-2.0,8.881784197001252e-16,7.2830815528402e-07,9.044090780561566e-07
-2.0,10,4,-2.0,-2.0,8.881784197001252e-16,9.710775403786934e-07,1.205878770741542e-06
-2.0,10,5,-2.0,-2.0,8.881784197001252e-16,1.2138469254733667e-06,1.5073484634269276e-06
-2.0,10,6,-2.0,-2.0,8.881784197001252e-16,1.45661631056804e-06,1.8088181561123131e-06
