launch_power_dbm,n_spans,band,channels,mean_delta_db,mean_abs_delta_db,rmse_delta_db,p95_abs_delta_db,max_abs_delta_db
-2.0,1,C,88,-8.074349270001139e-17,8.074349270001139e-17,7.574411013266429e-16,0.0,7.105427357601002e-15
-2.0,1,L,65,0.0,0.0,0.0,0.0,0.0
-2.0,1,S,87,8.167157882300002e-17,8.167157882300002e-17,5.386610578589337e-16,0.0,3.552713678800501e-15
-2.0,4,C,88,0.3347787173973918,0.3347787173973918,0.33501002142936304,0.34566821898793043,0.34574048851276373
-2.0,4,L,65,0.3321702769605713,0.3321702769605713,0.3322496314400698,0.3387414502096718,0.3393537817190939
-2.0,4,S,87,0.18539119236549634,0.18539119236549634,0.19816372995129025,0.27676341936913146,0.28188902185168985
-2.0,8,C,88,0.5326579312418265,0.5326579312418265,0.53300349068615,0.5493791279689251,0.5494944729947164
-2.0,8,L,65,0.5279997512845459,0.5279997512845459,0.5281103118709486,0.5382119938617805,0.539169573179894
-2.0,8,S,87,0.2934763877186052,0.2934763877186052,0.3141322254183323,0.44014376877497946,0.448375591041124
-2.0,10,C,88,0.5973425268147742,0.5973425268147742,0.5977230221783161,0.6159061521718897,0.6160352365048816
-2.0,10,L,65,0.5920155288129794,0.5920155288129794,0.5921354380417617,0.6033824182066851,0.6044496098270997
-2.0,10,S,87,0.3290932681170732,0.3290932681170732,0.3523071381158038,0.493769331070299,0.5030024107316038
0.0,1,C,88,0.0,0.0,0.0,0.0,0.0
0.0,1,L,65,0.0,0.0,0.0,0.0,0.0
0.0,1,S,87,0.0,0.0,0.0,0.0,0.0
0.0,4,C,88,0.42421752705410415,0.42421752705410415,0.4243214131500711,0.43405002846794305,0.43455989037943255
0.0,4,L,65,0.4367217638801289,0.4367217638801289,0.43672873021514685,0.4403036224229929,0.44038192501198026
0.0,4,S,87,0.2759329006605315,0.2759329006605315,0.29151624063794285,0.38444168790647987,0.38877164157549515
0.0,8,C,88,0.6545771519761296,0.6545771519761296,0.6547071694026793,0.667909743659133,0.6685472040415696
0.0,8,L,65,0.6706472240210718,0.6706472240210718,0.6706538227275719,0.6749743585968296,0.6750730134349965
0.0,8,S,87,0.4284639345976645,0.4284639345976645,0.45258683054922005,0.5959597184090324,0.6024725843220118
0.0,10,C,88,0.7290835378262173,0.7290835378262173,0.7292211929756288,0.7434797053054337,0.7441545046277298
0.0,10,L,65,0.7462140967366703,0.7462140967366703,0.7462206213338807,0.7507548594053233,0.7508595350733245
0.0,10,S,87,0.47824387013035796,0.47824387013035796,0.5050760565989473,0.664594050814712,0.6717916202328524
2.0,1,C,88,0.0,0.0,0.0,0.0,0.0
2.0,1,L,65,1.6397140056002313e-16,1.6397140056002313e-16,9.853454873813468e-16,0.0,7.105427357601002e-15
2.0,1,S,87,4.083578941150001e-17,4.083578941150001e-17,3.808908867731712e-16,0.0,3.552713678800501e-15
2.0,4,C,88,0.4604106470064163,0.4604106470064163,0.4604464203179028,0.4670078864625021,0.4674537431618013
2.0,4,L,65,0.4705879273690381,0.4705879273690381,0.47059243623517677,0.47356660625549374,0.4736444987656281
2.0,4,S,87,0.3176637267454564,0.3176637267454564,0.33814736283993024,0.4370737975305481,0.44017154264534497
2.0,8,C,88,0.6990062306099868,0.6990062306099868,0.699045707079439,0.7072402320665284,0.7077485688175411
2.0,8,L,65,0.7110894869283638,0.7110894869283638,0.7110931230504408,0.7143607092255966,0.7144498267459465
2.0,8,S,87,0.48626723177150966,0.48626723177150966,0.5171895049709475,0.6663818042870311,0.6708512125979098
2.0,10,C,88,0.7759195865221074,0.7759195865221074,0.7759602241747888,0.7846431744480569,0.7851691725573264
2.0,10,L,65,0.7885602944435174,0.7885602944435174,0.788563743987456,0.7919110655190519,0.7920031143698871
2.0,10,S,87,0.5410332108375877,0.5410332108375877,0.575248500529286,0.7404302810287812,0.7453253834546718
-2.0,1,ALL,240,0.0,5.921189464667501e-17,5.617333549722722e-16,0.0,7.105427357601002e-15
-2.0,4,ALL,240,0.2799192869550241,0.2799192869550241,0.29203396044189744,0.34542980537471024,0.34574048851276373
-2.0,8,ALL,240,0.444693031309562,0.444693031309562,0.46419181488803946,0.5490074828166243,0.5494944729947164
-2.0,10,ALL,240,0.49865944191137146,0.49865944191137146,0.5205328187527043,0.6154920961590831,0.6160352365048816
0.0,1,ALL,240,0.0,0.0,0.0,0.0,0.0
0.0,4,ALL,240,0.3738509141268158,0.3738509141268158,0.3853314086975223,0.4396020063791763,0.44038192501198026
0.0,8,ALL,240,0.5769634218552746,0.5769634218552746,0.5943363132870517,0.6741132528355631,0.6750730134349965
0.0,10,ALL,240,0.6427936846580493,0.6427936846580493,0.6620170877276872,0.7498471100182733,0.7508595350733245
2.0,1,ALL,240,5.921189464667501e-17,5.921189464667501e-17,5.617333549722722e-16,0.0,7.105427357601002e-15
2.0,4,ALL,240,0.41142123517669504,0.41142123517669504,0.42327875461925063,0.47292874090723125,0.4736444987656281
2.0,8,ALL,240,0.6251608921172659,0.6251608921172659,0.6427194106274234,0.7136530509488971,0.7144498267459465
2.0,10,ALL,240,0.6941968003985174,0.6941968003985174,0.7135428892683277,0.7911837088776897,0.7920031143698871
