correction_model,spans,wavelength_nm,nearest_grid_channel,nearest_grid_wavelength_nm,wavelength_error_nm,gnpy_gsnr_db,recursive_raw_model_gsnr_db,recursive_raw_residual_db,predicted_residual_correction_db,recursive_corrected_model_gsnr_db,recursive_corrected_residual_db
none,1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,27.82906007768924,-0.45093992231076285,0.0,27.82906007768924,-0.45093992231076285
none,1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,27.672212312862847,-0.6277876871371539,0.0,27.672212312862847,-0.6277876871371539
none,1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,27.435235389990844,-0.9247646100091558,0.0,27.435235389990844,-0.9247646100091558
none,4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,22.48305801325921,-0.1369419867407906,0.0,22.48305801325921,-0.1369419867407906
none,4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,22.300399806357824,-0.33960019364217686,0.0,22.300399806357824,-0.33960019364217686
none,4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,22.026421247438968,-0.6735787525610313,0.0,22.026421247438968,-0.6735787525610313
none,8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,19.596129338848613,-0.07387066115138907,0.0,19.596129338848613,-0.07387066115138907
none,8,1545.199,114,1545.0219715944893,-0.17702840551078225,19.68,19.40832010708402,-0.27167989291598005,0.0,19.40832010708402,-0.27167989291598005
none,8,1554.798,90,1554.636412590036,-0.16158740996411325,19.74,19.127020798001038,-0.6129792019989608,0.0,19.127020798001038,-0.6129792019989608
constant,1,1539.802,127,1539.8636361961098,0.0616361961099301,28.28,27.82906007768924,-0.45093992231076285,-0.725233333270365,28.554293410959602,0.27429341095960214
constant,1,1545.199,114,1545.0219715944893,-0.17702840551078225,28.3,27.672212312862847,-0.6277876871371539,-0.725233333270365,28.39744564613321,0.09744564613321105
constant,1,1554.798,90,1554.636412590036,-0.16158740996411325,28.36,27.435235389990844,-0.9247646100091558,-0.725233333270365,28.160468723261207,-0.19953127673879079
constant,4,1539.802,127,1539.8636361961098,0.0616361961099301,22.62,22.48305801325921,-0.1369419867407906,-0.725233333270365,23.208291346529574,0.5882913465295744
constant,4,1545.199,114,1545.0219715944893,-0.17702840551078225,22.64,22.300399806357824,-0.33960019364217686,-0.725233333270365,23.025633139628187,0.3856331396281881
constant,4,1554.798,90,1554.636412590036,-0.16158740996411325,22.7,22.026421247438968,-0.6735787525610313,-0.725233333270365,22.75165458070933,0.05165458070933371
constant,8,1539.802,127,1539.8636361961098,0.0616361961099301,19.67,19.596129338848613,-0.07387066115138907,-0.725233333270365,20.321362672118976,0.6513626721189759
