strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,2,0,C,193.33766646153845,1550.6158912890319,160.0,0.0,5.202800014761396e-18,2.0145241657156126e-07,1.8313856051960114e-07,6.487081807757178e-08,1.3496106535234487e-06,3.162277660168379e-07,1.8489769800598877e-06,38720000000.0,35200000000.0,27.330684958149746,41.879506252031945,1.0693429694134324e-10,7.091154696980014,16.056892524989657,3.999999999999999,1.0,255.99999999999994,recursive_calibrated_receiver,22.985660803545905,1.0
flat,2,1,C,193.38766646153843,1550.2149826065752,160.0,0.0,5.190689135815699e-18,2.0098348333878385e-07,1.827122575807126e-07,6.475329361188435e-08,1.5516986359289003e-06,3.162277660168379e-07,2.0506386595264505e-06,38720000000.0,35200000000.0,26.881108593776098,41.88738136727971,4.0389490962311707e-10,7.334314155540553,15.768160722190165,3.999999999999949,1.0,255.99999999999673,recursive_calibrated_receiver,22.692809831070765,1.0
flat,2,2,C,193.43766646153844,1549.8142811788327,160.0,0.0,5.1917265509523595e-18,2.0102365205287537e-07,1.8274877459352305e-07,6.479972994949791e-08,1.6474259676951768e-06,3.162277660168379e-07,2.146402508305538e-06,38720000000.0,35200000000.0,26.682888328153304,41.88426804031988,7.061757519922906e-10,7.444156156768974,15.640942287519628,3.99999999999986,1.0,255.99999999999105,recursive_calibrated_receiver,22.563690504184468,1.0
flat,2,3,C,193.48766646153842,1549.4137868451314,160.0,0.0,5.207888747983918e-18,2.0164945232193732e-07,1.8331768392903393e-07,6.503506355719747e-08,1.7071011191845302e-06,3.162277660168379e-07,2.206646569130402e-06,38720000000.0,35200000000.0,26.56267220697869,41.86852430993813,9.832843442203005e-10,7.511572663983144,15.563813307465779,3.9999999999996856,1.0,255.99999999997988,recursive_calibrated_receiver,22.485382544106933,1.0
flat,2,4,C,193.53766646153844,1549.0134994449645,160.0,0.0,5.224220011122875e-18,2.0228179883067774e-07,1.838925443915252e-07,6.527272682882882e-08,1.7500492455087983e-06,3.162277660168379e-07,2.250169555917161e-06,38720000000.0,35200000000.0,26.477847554776357,41.852682438694195,1.237685887935869e-09,7.559508901140258,15.50940308397551,3.9999999999991913,1.0,255.99999999994824,recursive_calibrated_receiver,22.430128345141362,1.0
flat,2,5,C,193.58766646153845,1548.6134188179913,160.0,0.0,5.2407300354808136e-18,2.029210669738171e-07,1.8447369724892464e-07,6.551284431578757e-08,1.7829467451474315e-06,3.162277660168379e-07,2.283648208413194e-06,38720000000.0,35200000000.0,26.41370797498057,41.836735447622964,1.4701246723184475e-09,7.595958563230683,15.468267884513837,3.999999999998818,1.0,255.99999999992434,recursive_calibrated_receiver,22.38834826103149,1.0
flat,2,6,C,193.63766646153843,1548.213544804036,160.0,0.0,5.257428629140009e-18,2.0356763652030117e-07,1.8506148774572832e-07,6.57555422345574e-08,1.8091052577121852e-06,3.162277660168379e-07,2.3103945114747514e-06,38720000000.0,35200000000.0,26.363138558101866,41.82067636595666,1.6818686946118341e-09,7.624820349077011,15.435839871548913,3.999999999998523,1.0,255.99999999990547,recursive_calibrated_receiver,22.355407688341327,1.0
flat,2,7,C,193.68766646153844,1547.8138772430889,160.0,0.0,5.274325729235575e-18,2.0422189223600145e-07,1.8565626566909222e-07,6.600094867176651e-08,1.8304066281114488e-06,3.162277660168379e-07,2.332290659797379e-06,38720000000.0,35200000000.0,26.322173269490396,41.80449822034611,1.8741996528685134e-09,7.648281094701202,15.409573255135907,3.9999999999982845,1.0,255.9999999998902,recursive_calibrated_receiver,22.328723179193904,1.0
flat,2,8,C,193.73766646153842,1547.4144159753055,160.0,0.0,5.291431420142343e-18,2.048842245879115e-07,1.8625838598901046e-07,6.624919381622211e-08,1.8480203443394885e-06,3.162277660168379e-07,2.350506496345337e-06,38720000000.0,35200000000.0,26.288385441681204,41.78819402271101,2.0482802525842946e-09,7.667685634665279,15.387910583290154,3.9999999999980878,1.0,255.99999999987762,recursive_calibrated_receiver,22.306714018980312,1.0
flat,2,9,C,193.78766646153844,1547.0151608410054,160.0,0.0,5.308755953720735e-18,2.0555503052806686e-07,1.8686820957096987e-07,6.650041021744533e-08,1.8627206187453704e-06,3.162277660168379e-07,2.365816594333178e-06,38720000000.0,35200000000.0,26.260189262999788,41.771756756800016,2.2051279959755806e-09,7.68391653819958,15.369834192937763,3.9999999999979234,1.0,255.9999999998671,recursive_calibrated_receiver,22.28834722080924,1.0
